"","Name","Team","playerid","name_last","name_first","name_given","mlbid","birthday"
"913","Nestor Cortes","Orioles","17874","Cortes","Nestor","Nestor",641482,1994-12-10
"914","Ryan Meisinger","Orioles","18105","Meisinger","Ryan","Ryan Thomas",664682,1994-05-04
"915","Adam Plutko","Indians","15846","Plutko","Adam","Adam Gregory",592644,1991-10-03
"916","Justin Nicolino","Marlins","11754","Nicolino","Justin","Justin Brian",592593,1991-11-22
"917","Jaime Schultz","Rays","15066","Schultz","Jaime","Jaime Matthew",621289,1991-06-20
"918","Barrett Astin","Reds","14812","Astin","Barrett","Barrett",592120,1991-10-22
"919","Angel Sanchez","Pirates","11776","Sanchez","Angel","Angel Luis",605795,1989-11-28
"920","Kolby Allard","Braves","18694","Allard","Kolby","Kolby Kenneth",663465,1997-08-13
"921","Jacob Turner","- - -","10185","Turner","Jacob","Jacob Edward",545363,1991-05-21
"922","Dustin McGowan","Marlins","8600",NA,NA,NA,NA,NA
"923","Gerson Bautista","Mets","19256","Bautista","Gerson","Gerson",639373,1995-05-31
"924","Matt Magill","Twins","3950","Magill","Matt","Matthew W.",543483,1989-11-10
"925","Michael Blazek","Brewers","9654","Blazek","Michael","Michael Robert",518468,1989-03-16
"926","Felix Jorge","Twins","14532","Jorge","Felix","Felix De Jesus",602928,1994-01-02
"927","Joe Blanton","Nationals","4849",NA,NA,NA,NA,NA
"928","Edward Mujica","Tigers","3970","Mujica","Edward","Edward Jose",465629,1984-05-10
"929","Myles Jaye","Tigers","11769","Jaye","Myles","Myles Joseph",594867,1991-12-28
"930","Paolo Espino","- - -","8246","Espino","Paolo","Paolo Alesandro",502179,1987-01-10
"931","Harrison Musgrave","Rockies","16532","Musgrave","Harrison","Harrison Scott",643466,1992-03-03
"932","Raul Alcantara","Athletics","12790","Alcantara","Raul","Raul",593417,1992-12-04
"933","Chris Heston","- - -","10302","Heston","Chris","Christopher L.",518790,1988-04-10
"934","Kevin Quackenbush","Reds","12360","Quackenbush","Kevin","Kevin Robert",534812,1988-11-28
"935","Ryan Burr","White Sox","17536","Burr","Ryan","Ryan Matthew",621114,1994-05-28
"936","Enrique Hernandez","Dodgers","10472","Hernandez","Enrique","Enrique J.",571771,1991-08-24
"937","Ben Meyer","Marlins","18854","Meyer","Ben","Benjamin K.",656738,1993-01-30
"938","Jesen Therrien","Phillies","15853",NA,NA,NA,NA,NA
"939","Walker Lockett","Padres","13804","Lockett","Walker","Andrew Walker",621141,1994-05-03
"940","Michael Ynoa","White Sox","14093","Ynoa","Michael","Michael Jose",573589,1991-09-24
"941","Chris Flexen","Mets","13896","Flexen","Chris","Christopher John",623167,1994-07-01
"942","Rookie Davis","Reds","14962","Davis","Rookie","William Theron",606959,1993-04-29
"943","Tyler Thornburg","Red Sox","10688","Thornburg","Tyler","Tyler Michael",592804,1988-09-29
"944","Mat Latos","Blue Jays","3815","Latos","Mat","Mathew Adam",502009,1987-12-09
"945","Matt Dermody","Blue Jays","14844","Dermody","Matt","Matthew Phillip",571616,1990-07-04
"946","Brett Kennedy","Padres","17877","Kennedy","Brett","Brett",664028,1994-08-04
"947","Chris Young","Royals","3196",NA,NA,NA,NA,NA
"948","Corey Oswalt","Mets","13677","Oswalt","Corey","Corey Edward",621261,1993-09-03
"949","Jake Newberry","Royals","15136","Newberry","Jake","Christopher Jake",623470,1994-11-20
"950","Jacob Nix","Padres","17775","Nix","Jacob","Jacob James",656798,1996-01-09
"951","Warwick Saupold","Tigers","13211","Saupold","Warwick","Warwick Anthony",599683,1990-01-16
"952","Nick Kingham","Pirates","11694","Kingham","Nick","Nicholas Gordon",592468,1991-11-08
"953","Tim Collins","Nationals","3164","Collins","Tim","Timothy Michael",525768,1989-08-21
"954","Robby Scott","Red Sox","13042","Scott","Robby","Robert John",582494,1989-08-29
"955","Ariel Hernandez","Reds","15603","Hernandez","Ariel","Ariel",554374,1992-03-02
"956","Tim Adleman","Reds","10968","Adleman","Tim","Timothy Max",534947,1987-11-13
"957","Jason Adam","Royals","11861","Adam","Jason","Jason Kendall",592094,1991-08-04
"958","Nick Rumbelow","Mariners","14867","Rumbelow","Nick","Nicholas Bruno",592705,1991-09-06
"959","Brad Goldberg","White Sox","14776","Goldberg","Brad","Bradley Andrew",643329,1990-02-21
"960","Mike Bolsinger","Blue Jays","11137","Bolsinger","Mike","Michael P.",502211,1988-01-29
"961","Lisalverto Bonilla","Reds","11266","Bonilla","Lisalverto","Lisalverto",570810,1990-06-18
"962","Austen Williams","Nationals","16309","Williams","Austen","Austen Thomas",657117,1992-12-19
"963","Jason Motte","Braves","5861",NA,NA,NA,NA,NA
"964","Joely Rodriguez","Phillies","11487","Rodriguez","Joely","Joely",570257,1991-11-14
"965","Justin Grimm","Cubs","11720","Grimm","Justin","Justin Scott",518748,1988-08-16
"966","Preston Guilmet","- - -","7303","Guilmet","Preston","Preston Blake",543258,1987-07-27
"967","Elieser Hernandez","Marlins","16933","Hernandez","Elieser","Elieser Alexis",622694,1995-05-03
"968","Yimi Garcia","Dodgers","12095","Garcia","Yimi","Yimi",554340,1990-08-18
"969","Chris Tillman","Orioles","5279","Tillman","Chris","Christopher Steven",501957,1988-04-15
"970","Ryan Carpenter","Tigers","12699","Carpenter","Ryan","Ryan Nicholas",543001,1990-08-22
"971","Tim Peterson","Mets","13946","Peterson","Tim","Timothy Louis",623402,1991-02-22
"972","Evan Phillips","- - -","17734","Phillips","Evan","Evan John",623465,1994-09-11
"973","Josh Collmenter","Braves","7312","Collmenter","Josh","Joshua Michael",518567,1986-02-07
"974","Cody Carroll","Orioles","17664","Carroll","Cody","Cody Mark",606944,1992-10-15
"975","Jefry Rodriguez","Nationals","17018","Rodriguez","Jefry","Jefry Osvaldo",622446,1993-07-26
"976","Ricardo Pinto","Phillies","16318","Pinto","Ricardo","Ricardo Antonio",620982,1994-01-20
"977","Adam Wilk","- - -","8421","Wilk","Adam","Adam Robert",573244,1987-12-09
"978","Nick Tepesch","- - -","11716","Tepesch","Nick","Nicholas James",519344,1988-10-12
"979","Tanner Rainey","Reds","17610","Rainey","Tanner","Tanner Scott",663432,1992-12-25
"980","Antonio Bastardo","Pirates","8844","Bastardo","Antonio","Antonio Francisco",455374,1985-09-21
"981","Casey Fien","- - -","3926",NA,NA,NA,NA,NA
"982","Tom Koehler","- - -","6570",NA,NA,NA,NA,NA
"983","Chris Beck","- - -","13418","Beck","Chris","Christopher Michael",571476,1990-09-04
"984","Brian Ellington","Marlins","17233","Ellington","Brian","Brian Michael",623395,1990-08-04
"985","Travis Wood","- - -","9884",NA,NA,NA,NA,NA
"986","Drew Hutchison","- - -","10732","Hutchison","Drew","Andrew Scott",571800,1990-08-22
"987","Jason Grilli","- - -","521",NA,NA,NA,NA,NA
"988","Burch Smith","Royals","12784","Smith","Burch","Burch Taylor",572143,1990-04-12
"989","Pedro Araujo","Orioles","17697","Araujo","Pedro","Pedro",606478,1993-07-02
"990","Kevin Jepsen","Rangers","6475","Jepsen","Kevin","Kevin Martin",448178,1984-07-26
"991","Neftali Feliz","- - -","18","Feliz","Neftali","Neftali",491703,1988-05-02
"992","Bronson Arroyo","Reds","978",NA,NA,NA,NA,NA
"993","Francisco Rodriguez","Tigers","1642","Rodriguez","Francisco","Francisco Jose",408061,1982-01-07
"994","David Holmberg","White Sox","7725","Holmberg","David","David A.",571787,1991-07-19
"995","Chris Smith","Athletics","4544",NA,NA,NA,NA,NA
"996","Jered Weaver","Padres","4235",NA,NA,NA,NA,NA
"997","Mike Pelfrey","White Sox","5203",NA,NA,NA,NA,NA
